"WHO_region","Country","ISO2","Country_ID","ADMIN1_NAME","ADMIN1_ID","IU_Name","District_ID","IU_ID","Endemicity","MDA_start_APOC","LF_MDA_duration","start_year","end_year","Period","PopReq","PopTreat","Cov","MDA","EffMDA","MDA_n","EffMDA_n","MDA_left","Mapping_gap","Composite_IU_ID"
"AFRO","Nigeria","NG",34,"Osun",483,"Ila",2203,36954,"Endemic",2008,8,2017,2017,"Annual",0,0,0,0,0,0,0,2,0,"ANGA0380436954"
"AFRO","Nigeria","NG",34,"Osun",483,"Ilesha West",2205,36956,"Non-endemic",null,null,2017,2017,"Annual",0,0,0,999,999,999,999,999,0,"ANGA0380436956"
"AFRO","Nigeria","NG",34,"Osun",483,"Irepodun (Osun)",2206,36957,"Endemic",2014,2,2017,2017,"Annual",0,0,0,0,0,0,0,2,0,"ANGA0380436957"
"AFRO","Nigeria","NG",34,"Osun",483,"Irewole",2207,36958,"Endemic",2015,2,2017,2017,"Annual",0,0,0,0,0,0,0,3,0,"ANGA0380436958"
"AFRO","Nigeria","NG",34,"Edo",465,"Ovia South West",1824,36575,"Endemic",2014,3,2017,2017,"Annual",138614,133774,96.50828921,1,1,1,1,2,0,"ANGA0378636575"
"AFRO","Nigeria","NG",34,"Osun",483,"Isokan",2208,36959,"Endemic",2016,1,2017,2017,"Annual",0,0,0,0,0,0,0,5,0,"ANGA0380436959"
"AFRO","Nigeria","NG",34,"Osun",483,"Iwo",2209,36960,"Endemic",2016,1,2017,2017,"Annual",0,0,0,0,0,0,0,5,0,"ANGA0380436960"
"AFRO","Nigeria","NG",34,"Osun",483,"Obokun",2210,36961,"Endemic",2016,1,2017,2017,"Annual",122298,118855,97.18474546,1,1,1,1,4,0,"ANGA0380436961"
"AFRO","Nigeria","NG",34,"Osun",483,"Odo-Otin",2211,36962,"Endemic",2009,7,2017,2017,"Annual",0,0,0,0,0,0,0,2,0,"ANGA0380436962"
"AFRO","Nigeria","NG",34,"Osun",483,"Ola-Oluwa",2212,36963,"Endemic",2015,2,2017,2017,"Annual",0,0,0,0,0,0,0,2,0,"ANGA0380436963"
"AFRO","Nigeria","NG",34,"Osun",483,"Olorunda",2213,36964,"Endemic",2016,1,2017,2017,"Annual",138306,129984,93.98290747,1,1,1,1,4,0,"ANGA0380436964"
"AFRO","Nigeria","NG",34,"Osun",483,"Orolu",2215,36967,"Endemic",2015,2,2017,2017,"Annual",0,0,0,0,0,0,0,2,0,"ANGA0380436967"
"AFRO","Nigeria","NG",34,"Osun",483,"Oriade",2214,36965,"Endemic",2008,8,2017,2017,"Annual",155998,155288,99.54486596,1,1,1,1,4,0,"ANGA0380436965"
"AFRO","Nigeria","NG",34,"Osun",483,"Oshogbo",2216,36966,"Endemic",2016,1,2017,2017,"Annual",0,0,0,0,0,0,0,5,0,"ANGA0380436966"
"AFRO","Nigeria","NG",34,"Imo",470,"Ideato-South",1883,36634,"Endemic",2014,3,2017,2017,"Annual",167820,165498,98.61637469,1,1,1,1,2,0,"ANGA0379136634"
"AFRO","Nigeria","NG",34,"Oyo",484,"Afijio",2217,36968,"Non-endemic",null,null,2017,2017,"Annual",0,0,0,999,999,999,999,999,0,"ANGA0380536968"
"AFRO","Nigeria","NG",34,"Imo",470,"Ideato North",1882,36633,"Endemic",2014,3,2017,2017,"Annual",166274,149442,89.87695009,1,1,1,1,2,0,"ANGA0379136633"
"AFRO","Nigeria","NG",34,"Bauchi",458,"Warji",1694,36445,"Endemic",2014,3,2017,2017,"Annual",150523,227995,151.4685463,1,1,1,1,1,0,"ANGA0377936445"
"AFRO","Nigeria","NG",34,"Edo",465,"Owan East",1825,36576,"Endemic",2014,3,2017,2017,"Annual",158101,147872,93.5300852,1,1,1,1,3,0,"ANGA0378636576"
"AFRO","Nigeria","NG",34,"Bauchi",458,"Tafawa Balewa",1692,36443,"Endemic",2012,5,2017,2017,"Annual",230914,227997,98.73675914,1,1,1,1,1,0,"ANGA0377936443"
"AFRO","Nigeria","NG",34,"Bauchi",458,"Toro",1693,36444,"Endemic",2014,3,2017,2017,"Annual",367808,227700,61.90729946,1,0,1,0,2,0,"ANGA0377936444"
"AFRO","Nigeria","NG",34,"Bayelsa",459,"Brass",1696,36447,"Endemic",null,null,2017,2017,"Annual",0,0,0,0,0,0,0,5,0,"ANGA0378036447"
"AFRO","Nigeria","NG",34,"Edo",465,"Owan West",1826,36577,"Non-endemic",null,null,2017,2017,"Annual",0,0,0,999,999,999,999,999,0,"ANGA0378636577"
"AFRO","Nigeria","NG",34,"Bauchi",458,"Shira",1691,36442,"Non-endemic",null,null,2017,2017,"Annual",0,0,0,999,999,999,999,999,0,"ANGA0377936442"
"AFRO","Nigeria","NG",34,"Bauchi",458,"Zaki",1695,36446,"Non-endemic",null,null,2017,2017,"Annual",0,0,0,999,999,999,999,999,0,"ANGA0377936446"
"AFRO","Nigeria","NG",34,"Kwara",477,"Oyun",2089,36827,"Endemic",2010,7,2017,2017,"Annual",98934,112531,113.7435058,1,1,1,1,0,0,"ANGA0379836827"
"AFRO","Nigeria","NG",34,"Abia",454,"Ikwuano",1590,36341,"Endemic",2014,3,2017,2017,"Annual",144848,142106,98.10698111,1,1,1,1,2,0,"ANGA0377536341"
"AFRO","Nigeria","NG",34,"Abia",454,"Isiala Ngwa South",1592,36343,"Endemic",2014,3,2017,2017,"Annual",141455,140567,99.37223852,1,1,1,1,3,0,"ANGA0377536343"
"AFRO","Nigeria","NG",34,"Abia",454,"Isiala Ngwa North",1591,36342,"Endemic",2014,3,2017,2017,"Annual",161369,128809,79.82264251,1,1,1,1,3,0,"ANGA0377536342"
"AFRO","Nigeria","NG",34,"Abia",454,"Isiukwuato",1593,36344,"Endemic",2014,3,2017,2017,"Annual",120126,104307,86.83132711,1,1,1,1,2,0,"ANGA0377536344"
"AFRO","Nigeria","NG",34,"Edo",465,"Oredo",1821,36572,"Non-endemic",null,null,2017,2017,"Annual",0,0,0,999,999,999,999,999,0,"ANGA0378636572"
"AFRO","Nigeria","NG",34,"Abia",454,"Obingwa",1594,36345,"Endemic",null,null,2017,2017,"Annual",190451,153985,80.85281779,1,1,1,1,4,0,"ANGA0377536345"
"AFRO","Nigeria","NG",34,"Sokoto",487,"Wurno",2311,37062,"Endemic",2015,2,2017,2017,"Annual",170369,149704,87.87044591,1,1,1,1,2,0,"ANGA0380837062"
"AFRO","Nigeria","NG",34,"Sokoto",487,"Yabo",2312,37063,"Endemic",2011,6,2017,2017,"Annual",120723,115384,95.57747902,1,1,1,1,1,0,"ANGA0380837063"
"AFRO","Nigeria","NG",34,"Taraba",488,"Bali",2314,37065,"Endemic",2010,7,2017,2017,"Annual",219312,227144,103.571168,1,1,1,1,0,0,"ANGA0380937065"
"AFRO","Nigeria","NG",34,"Zamfara",490,"Maradun",2354,37105,"Endemic",2010,7,2017,2017,"Annual",221325,181889,82.18185926,1,1,1,1,0,0,"ANGA0381137105"
"AFRO","Nigeria","NG",34,"Zamfara",490,"Maru",2355,37106,"Endemic",2011,6,2017,2017,"Annual",306398,302428,98.70429964,1,1,1,1,1,0,"ANGA0381137106"
"AFRO","Nigeria","NG",34,"Borno",461,"Damboa",1733,36484,"Endemic",null,null,2017,2017,"Annual",0,0,0,0,0,0,0,5,0,"ANGA0378236484"
"AFRO","Nigeria","NG",34,"Taraba",488,"Ardo-Kola",2313,37064,"Endemic",2012,5,2017,2017,"Annual",91238,89619,98.22552007,1,1,1,1,0,0,"ANGA0380937064"
"AFRO","Nigeria","NG",34,"Zamfara",490,"Shinkafi",2356,37107,"Endemic",2011,6,2017,2017,"Annual",142386,108104,75.9231947,1,1,1,1,0,0,"ANGA0381137107"
"AFRO","Nigeria","NG",34,"Zamfara",490,"Talatan Mafara",2357,37108,"Endemic",2010,7,2017,2017,"Annual",225866,239416,105.9991322,1,1,1,1,0,0,"ANGA0381137108"
"AFRO","Nigeria","NG",34,"Borno",461,"Mafa",1745,36496,"Endemic",null,null,2017,2017,"Annual",0,0,0,0,0,0,0,5,0,"ANGA0378236496"
"AFRO","Nigeria","NG",34,"Borno",461,"Magumeri",1746,36497,"Endemic",null,null,2017,2017,"Annual",0,0,0,0,0,0,0,5,0,"ANGA0378236497"
"AFRO","Nigeria","NG",34,"Borno",461,"Bayo",1730,36481,"Non-endemic",null,null,2017,2017,"Annual",0,0,0,999,999,999,999,999,0,"ANGA0378236481"
"AFRO","Nigeria","NG",34,"Borno",461,"Biu",1731,36482,"Endemic",null,null,2017,2017,"Annual",0,0,0,0,0,0,0,5,0,"ANGA0378236482"
"AFRO","Nigeria","NG",34,"Borno",461,"Chibok",1732,36483,"Non-endemic",null,null,2017,2017,"Annual",0,0,0,999,999,999,999,999,0,"ANGA0378236483"
"AFRO","Nigeria","NG",34,"Borno",461,"Dikwa",1734,36485,"Non-endemic",null,null,2017,2017,"Annual",0,0,0,999,999,999,999,999,0,"ANGA0378236485"
"AFRO","Nigeria","NG",34,"Borno",461,"Gubio",1735,36486,"Endemic",null,null,2017,2017,"Annual",0,0,0,0,0,0,0,5,0,"ANGA0378236486"
"AFRO","Nigeria","NG",34,"Borno",461,"Guzamala",1736,36487,"Non-endemic",null,null,2017,2017,"Annual",0,0,0,999,999,999,999,999,0,"ANGA0378236487"
"AFRO","Nigeria","NG",34,"Edo",465,"Etsako West",1818,36569,"Endemic",2014,3,2017,2017,"Annual",202365,196551,97.12697354,1,1,1,1,3,0,"ANGA0378636569"
"AFRO","Nigeria","NG",34,"Edo",465,"Orhionmwon",1822,36573,"Non-endemic",null,null,2017,2017,"Annual",0,0,0,999,999,999,999,999,0,"ANGA0378636573"
"AFRO","Nigeria","NG",34,"Niger",480,"Paikoro",2142,36893,"Endemic",2013,4,2017,2017,"Annual",165938,135481,81.64555436,1,1,1,1,3,0,"ANGA0380136893"
"AFRO","Nigeria","NG",34,"Niger",480,"Rafi",2143,36894,"Endemic",2013,4,2017,2017,"Annual",190966,190078,99.53499576,1,1,1,1,1,0,"ANGA0380136894"
"AFRO","Nigeria","NG",34,"Niger",480,"Shiroro",2145,36896,"Endemic",2013,4,2017,2017,"Annual",247096,229585,92.91328067,1,1,1,1,2,0,"ANGA0380136896"
"AFRO","Nigeria","NG",34,"Edo",465,"Igugben",1819,36570,"Non-endemic",null,null,2017,2017,"Annual",0,0,0,999,999,999,999,999,0,"ANGA0378636570"
"AFRO","Nigeria","NG",34,"Edo",465,"Ikpoba-Okha",1820,36571,"Non-endemic",null,null,2017,2017,"Annual",0,0,0,999,999,999,999,999,0,"ANGA0378636571"
"AFRO","Nigeria","NG",34,"Niger",480,"Muyan",2141,36892,"Non-endemic",null,null,2017,2017,"Annual",0,0,0,999,999,999,999,999,0,"ANGA0380136892"
"AFRO","Nigeria","NG",34,"Niger",480,"Rijau",2144,36895,"Endemic",2011,6,2017,2017,"Annual",184797,184363,99.7651477,1,1,1,1,0,0,"ANGA0380136895"
"AFRO","Nigeria","NG",34,"Niger",480,"Suleja",2146,36897,"Non-endemic",null,null,2017,2017,"Annual",0,0,0,999,999,999,999,999,0,"ANGA0380136897"
"AFRO","Nigeria","NG",34,"Niger",480,"Tafa",2147,36898,"Endemic",2013,4,2017,2017,"Annual",87694,85682,97.70565831,1,1,1,1,0,0,"ANGA0380136898"
"AFRO","Nigeria","NG",34,"Niger",480,"Wushishi",2148,36899,"Endemic",2011,6,2017,2017,"Annual",85845,84077,97.94047411,1,1,1,1,0,0,"ANGA0380136899"
"AFRO","Nigeria","NG",34,"Ogun",481,"Abeokuta North",2149,36900,"Endemic",2014,2,2017,2017,"Annual",211329,173779,82.23149686,1,1,1,1,3,0,"ANGA0380236900"
"AFRO","Nigeria","NG",34,"Kano",473,"Gwale",1972,36723,"Endemic",2015,2,2017,2017,"Annual",380043,380576,100.1402473,1,1,1,1,2,0,"ANGA0379436723"
"AFRO","Nigeria","NG",34,"Ogun",481,"Abeokuta South",2150,36901,"Endemic",2014,2,2017,2017,"Annual",262709,223997,85.26430385,1,1,1,1,3,0,"ANGA0380236901"
"AFRO","Nigeria","NG",34,"Kano",473,"Gaya",1970,36721,"Endemic",2011,6,2017,2017,"Annual",211000,210518,99.77156398,1,1,1,1,0,0,"ANGA0379436721"
"AFRO","Nigeria","NG",34,"Kano",473,"Gezawa",1971,36722,"Endemic",2014,3,2017,2017,"Annual",296079,299349,101.104435,1,1,1,1,2,0,"ANGA0379436722"
"AFRO","Nigeria","NG",34,"Kano",473,"Gwarzo",1973,36724,"Endemic",2014,3,2017,2017,"Annual",193126,156840,81.21122997,1,1,1,1,1,0,"ANGA0379436724"
"AFRO","Nigeria","NG",34,"Kano",473,"Kabo",1974,36725,"Endemic",2014,3,2017,2017,"Annual",161469,160808,99.5906335,1,1,1,1,1,0,"ANGA0379436725"
