district_names,total_treatment_alb_mbd,total_target_alb,total_target_mbd,lf_alb_total_procured,sac_alb_total_procured,sth_mbd_total_procured,pzq_total_treatment,pzq_total_procured,ivm_total_treatment,ivm_total_procured
Lagelu,39797.0,0.0,191026.0,0.0,0.0,112175.0,18386.280000000002,0.0,28155.17616374999,78992.49325849998
Lagos Island,56334.0,0.0,135201.0,0.0,0.0,79393.0,0.0,0.0,0.0,0.0
Lagos Mainland,85460.0,0.0,205103.0,0.0,0.0,120441.0,39482.19,98804.475,0.0,0.0
Lamurde,30341.0,0.0,0.0,121973.0,0.0,0.0,37016.6,53151.5,197084.91514593747,340504.8
Langtan North,37830.0,0.0,0.0,0.0,0.0,0.0,46152.600000000006,66269.5,0.0,0.0
Langtan South,28594.0,0.0,0.0,0.0,0.0,0.0,13210.230000000001,0.0,0.0,0.0
Lapai,29622.0,0.0,100714.0,119079.0,0.0,41747.0,13685.1,0.0,236972.0,332424.8
Lau,25981.0,0.0,0.0,104442.0,0.0,0.0,12003.09,0.0,207844.0,291563.6
Lavun,56463.0,0.0,56463.0,226982.0,0.0,0.0,68884.8,98909.0,275449.403851875,633650.6
Lere,89075.0,0.0,89075.0,358082.0,0.0,0.0,41152.65,0.0,532585.9830353125,999636.0
Logo,45474.0,0.0,0.0,182807.0,0.0,0.0,55478.600000000006,79660.0,306127.16711343743,510330.6
Lokoja,52521.0,0.0,52521.0,211134.0,0.0,0.0,64075.3,92003.25,244709.16885375,589409.3999999999
Machina,28778.0,0.0,0.0,115690.0,0.0,0.0,13295.7,0.0,115114.0,322964.19999999995
Madagali,36265.0,0.0,0.0,0.0,0.0,0.0,16754.760000000002,0.0,71661.29895999996,201053.63708799987
Madobi,36749.0,0.0,36749.0,147729.0,0.0,0.0,44833.2,64375.0,187521.59409218747,412407.2
Mafa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Magama,48861.0,0.0,48861.0,196421.0,0.0,0.0,59610.100000000006,85592.25,306196.936294375,548335.4
Magumeri,37719.0,0.0,0.0,151631.0,0.0,0.0,0.0,0.0,150876.0,423297.8
Mai'adua,54112.0,0.0,0.0,217532.0,0.0,0.0,24999.81,0.0,216449.0,607270.2
Maiduguri,140270.0,0.0,0.0,563885.0,0.0,0.0,561079.0,491436.0,561079.0,1574164.2
Maigatari,48339.0,0.0,0.0,194324.0,0.0,0.0,58973.9,84678.75,193357.0,542482.6
Maiha,29914.0,0.0,0.0,120256.0,0.0,0.0,36495.4,52403.0,208501.5749909375,335710.6
Maiyama,47256.0,0.0,0.0,189969.0,0.0,0.0,57652.0,82780.5,189023.0,530323.4
Makarfi,39340.0,0.0,0.0,158149.0,0.0,0.0,47995.5,68915.25,157362.0,441495.6
Makoda,59820.0,0.0,0.0,240479.0,0.0,0.0,27637.170000000002,0.0,253104.3865415625,671329.5999999999
Makurdi,79993.0,0.0,79993.0,321574.0,0.0,0.0,97592.1,140128.75,351911.2806521875,897719.2
Mallam Madori,43417.0,0.0,0.0,174535.0,0.0,0.0,20058.39,0.0,173666.0,487237.8
Malumfashi,49201.0,0.0,0.0,197791.0,0.0,0.0,60025.8,86189.5,196806.0,552159.7999999999
Mangu,79330.0,0.0,0.0,0.0,0.0,0.0,36650.46,0.0,0.0,0.0
Mani,47600.0,0.0,0.0,191352.0,0.0,0.0,58072.0,83384.0,190400.0,534187.0
Maradun,56714.0,0.0,0.0,227993.0,0.0,0.0,69191.6,99350.0,226858.0,636473.3999999999
Mariga,53642.0,0.0,53642.0,215642.0,0.0,0.0,65443.5,93967.75,315435.42194531247,601995.2
Marte,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Maru,78515.0,0.0,0.0,315629.0,0.0,0.0,95787.6,137538.0,341200.31745531247,881121.4
Mashegu,57836.0,0.0,57836.0,232502.0,0.0,0.0,70560.3,101315.75,363308.92175031244,649062.0
Mashi,46569.0,0.0,0.0,187209.0,0.0,0.0,21515.010000000002,0.0,186277.0,522619.6
Matazu,31020.0,0.0,0.0,124701.0,0.0,0.0,37844.4,54340.0,124080.0,348119.0
Mayo-belwa,41188.0,0.0,0.0,165578.0,0.0,0.0,50250.0,72153.0,252587.48238312494,462234.19999999995
Mbaitoli,63897.0,0.0,63897.0,256866.0,0.0,0.0,0.0,0.0,332443.40089812496,932703.52251475
Mbo,27977.0,0.0,134290.0,0.0,0.0,78859.0,0.0,0.0,0.0,0.0
Michika,41773.0,0.0,0.0,167927.0,0.0,0.0,19299.06,0.0,285794.1552075,468790.8
Miga,34543.0,0.0,0.0,138863.0,0.0,0.0,42142.4,60511.0,138172.0,387655.6
Mikang,26201.0,0.0,0.0,0.0,0.0,0.0,31965.800000000003,45898.5,0.0,0.0
Minjibir,57506.0,0.0,0.0,231174.0,0.0,0.0,70157.0,100736.0,230023.0,645353.3999999999
Misau,70869.0,0.0,0.0,284895.0,0.0,0.0,0.0,0.0,432877.5569143523,795323.6
Mkpat Enin,47888.0,0.0,229862.0,0.0,0.0,134980.0,0.0,0.0,0.0,0.0
Moba,39403.0,0.0,94567.0,158400.0,0.0,55532.0,18204.120000000003,0.0,93056.72498156245,261080.82994837486
Mobbar,31377.0,0.0,0.0,126137.0,0.0,0.0,0.0,0.0,183783.25622249997,352128.19999999995
Mokwa,65883.0,0.0,65883.0,264849.0,0.0,0.0,80377.0,115411.0,408585.25958281243,739362.8
Monguno,29547.0,0.0,0.0,118780.0,0.0,0.0,0.0,0.0,118189.0,331591.19999999995
