,state_names,total_treatment_mbd_alb,total_target_alb,total_target_mbd,lf_alb_total_procured,sth_mbd_total_procured,schisto_pzq_total_treatment,schisto_pzq_total_procured,lf_ivm_total_treatment,lf_ivm_total_procured,oncho_ivm_total_treatment,oncho_ivm_total_procured,state,population,lf_yld,oncho_yld,schisto_yld,WHO_region,Country,ISO2,Country_ID,ADMIN1_NAME,ADMIN1_ID,IU_Name,District_ID,IU_ID,Endemicity,MDA_start_APOC,LF_MDA_duration,start_year,end_year,Period,PopReq,PopTreat,Cov,MDA,EffMDA,MDA_n,EffMDA_n,MDA_left,Mapping_gap,Composite_IU_ID,alb_ratio,mbd_ratio,pzq_ratio,oncho_ivm_ratio,lf_ivm_ratio
31,Adamawa,852147,792834,59313,2868274,0,809107.55,959070.0,2868274,8031167.199999999,1641987.3240981246,581620.7351079998,Adamawa,4248436,16807.486752963046,39269.266662928516,44010.70429754725,AFRO,Nigeria,NG,34,Adamawa,455,Madagali,1612,36363,Non-endemic,,,2017,2017,Annual,0,0,0.0,999,999,999,999,999,0,ANGA0377636363,3.6177484820277637,0.0,1.1853430362873267,0.35421755489340323,2.8
32,Adamawa,852147,792834,59313,2868274,0,809107.55,959070.0,2868274,8031167.199999999,1641987.3240981246,581620.7351079998,Adamawa,4248436,16807.486752963046,39269.266662928516,44010.70429754725,AFRO,Nigeria,NG,34,Adamawa,455,Michika,1615,36366,Endemic,2015.0,1.0,2017,2017,Annual,163016,158216,97.05550375,1,1,1,1,4,0,ANGA0377636366,3.6177484820277637,0.0,1.1853430362873267,0.35421755489340323,2.8
33,Adamawa,852147,792834,59313,2868274,0,809107.55,959070.0,2868274,8031167.199999999,1641987.3240981246,581620.7351079998,Adamawa,4248436,16807.486752963046,39269.266662928516,44010.70429754725,AFRO,Nigeria,NG,34,Adamawa,455,Mubi North,1616,36367,Endemic,,,2017,2017,Annual,158576,79256,49.979820399999994,1,0,1,0,5,0,ANGA0377636367,3.6177484820277637,0.0,1.1853430362873267,0.35421755489340323,2.8
34,Adamawa,852147,792834,59313,2868274,0,809107.55,959070.0,2868274,8031167.199999999,1641987.3240981246,581620.7351079998,Adamawa,4248436,16807.486752963046,39269.266662928516,44010.70429754725,AFRO,Nigeria,NG,34,Adamawa,455,Mubi South,1617,36368,Endemic,,,2017,2017,Annual,135342,126212,93.25412658,1,1,1,1,4,0,ANGA0377636368,3.6177484820277637,0.0,1.1853430362873267,0.35421755489340323,2.8
35,Adamawa,852147,792834,59313,2868274,0,809107.55,959070.0,2868274,8031167.199999999,1641987.3240981246,581620.7351079998,Adamawa,4248436,16807.486752963046,39269.266662928516,44010.70429754725,AFRO,Nigeria,NG,34,Adamawa,455,Numan,1618,36369,Endemic,2015.0,1.0,2017,2017,Annual,119036,170411,143.1592123,1,1,1,1,3,0,ANGA0377636369,3.6177484820277637,0.0,1.1853430362873267,0.35421755489340323,2.8
36,Adamawa,852147,792834,59313,2868274,0,809107.55,959070.0,2868274,8031167.199999999,1641987.3240981246,581620.7351079998,Adamawa,4248436,16807.486752963046,39269.266662928516,44010.70429754725,AFRO,Nigeria,NG,34,Adamawa,455,Shelleng,1619,36370,Endemic,2015.0,1.0,2017,2017,Annual,156472,51896,33.1663173,1,0,1,0,3,0,ANGA0377636370,3.6177484820277637,0.0,1.1853430362873267,0.35421755489340323,2.8
37,Adamawa,852147,792834,59313,2868274,0,809107.55,959070.0,2868274,8031167.199999999,1641987.3240981246,581620.7351079998,Adamawa,4248436,16807.486752963046,39269.266662928516,44010.70429754725,AFRO,Nigeria,NG,34,Adamawa,455,Song,1620,36371,Endemic,2012.0,4.0,2017,2017,Annual,202268,167442,82.78224929,1,1,1,1,3,0,ANGA0377636371,3.6177484820277637,0.0,1.1853430362873267,0.35421755489340323,2.8
38,Akwa Ibom,1054449,0,3850694,1345455,2107742,6620.79,0.0,949701,2659162.8,428945.29763499997,1201046.833378,Akwa Ibom,5482177,21688.361859493398,50673.01720124146,56791.36295187563,AFRO,Nigeria,NG,34,Akwa Ibom,456,Nsit-Ubium,1644,36395,Non-endemic,,,2017,2017,Annual,0,0,0.0,999,999,999,999,999,0,ANGA0377736395,0.0,0.5473667863507201,0.0,2.8000000000000003,2.8
39,Akwa Ibom,1054449,0,3850694,1345455,2107742,6620.79,0.0,949701,2659162.8,428945.29763499997,1201046.833378,Akwa Ibom,5482177,21688.361859493398,50673.01720124146,56791.36295187563,AFRO,Nigeria,NG,34,Akwa Ibom,456,Obot-Akara,1645,36396,Non-endemic,,,2017,2017,Annual,0,0,0.0,999,999,999,999,999,0,ANGA0377736396,0.0,0.5473667863507201,0.0,2.8000000000000003,2.8
40,Akwa Ibom,1054449,0,3850694,1345455,2107742,6620.79,0.0,949701,2659162.8,428945.29763499997,1201046.833378,Akwa Ibom,5482177,21688.361859493398,50673.01720124146,56791.36295187563,AFRO,Nigeria,NG,34,Akwa Ibom,456,Okobo,1646,36397,Endemic,2011.0,5.0,2017,2017,Annual,109226,98571,90.24499661,1,1,1,1,4,0,ANGA0377736397,0.0,0.5473667863507201,0.0,2.8000000000000003,2.8
41,Akwa Ibom,1054449,0,3850694,1345455,2107742,6620.79,0.0,949701,2659162.8,428945.29763499997,1201046.833378,Akwa Ibom,5482177,21688.361859493398,50673.01720124146,56791.36295187563,AFRO,Nigeria,NG,34,Akwa Ibom,456,Onna,1647,36398,Endemic,2011.0,5.0,2017,2017,Annual,129501,126213,97.46102347,1,1,1,1,3,0,ANGA0377736398,0.0,0.5473667863507201,0.0,2.8000000000000003,2.8
42,Akwa Ibom,1054449,0,3850694,1345455,2107742,6620.79,0.0,949701,2659162.8,428945.29763499997,1201046.833378,Akwa Ibom,5482177,21688.361859493398,50673.01720124146,56791.36295187563,AFRO,Nigeria,NG,34,Akwa Ibom,456,Oron,1648,36399,Endemic,2011.0,5.0,2017,2017,Annual,91805,74773,81.44763357,1,1,1,1,4,0,ANGA0377736399,0.0,0.5473667863507201,0.0,2.8000000000000003,2.8
43,Akwa Ibom,1054449,0,3850694,1345455,2107742,6620.79,0.0,949701,2659162.8,428945.29763499997,1201046.833378,Akwa Ibom,5482177,21688.361859493398,50673.01720124146,56791.36295187563,AFRO,Nigeria,NG,34,Akwa Ibom,456,Oruk-Anam,1649,36400,Non-endemic,,,2017,2017,Annual,0,0,0.0,999,999,999,999,999,0,ANGA0377736400,0.0,0.5473667863507201,0.0,2.8000000000000003,2.8
44,Akwa Ibom,1054449,0,3850694,1345455,2107742,6620.79,0.0,949701,2659162.8,428945.29763499997,1201046.833378,Akwa Ibom,5482177,21688.361859493398,50673.01720124146,56791.36295187563,AFRO,Nigeria,NG,34,Akwa Ibom,456,Udung-Ukot,1650,36401,Endemic,2011.0,5.0,2017,2017,Annual,55924,45454,81.27816322,1,1,1,1,4,0,ANGA0377736401,0.0,0.5473667863507201,0.0,2.8000000000000003,2.8
