"WHO_region","Country","ISO2","Country_ID","ADMIN1_NAME","ADMIN1_ID","IU_Name","District_ID","IU_ID","Endemicity","MDA_status","MDA_start_APOC","IVM_APOC_duration","start_year","end_year","Period","PopReq","PopTreat","Cov","MDA","EffMDA","MDA_n","EffMDA_n","Composite_IU_ID"
"AFRO","Nigeria","NG",34,"Akwa Ibom",456,"Oron",1648,36399,"Unknown (under LF MDA)","PC Not yet required",null,5,2017,2017,"Annual",91805,74773,81.4476335711562,1,1,1,1,"ANGA0377736399"
"AFRO","Nigeria","NG",34,"Akwa Ibom",456,"Oruk-Anam",1649,36400,"Consider Oncho Elimination Mapping","PC Not yet required",null,0,2017,2017,"Annual",0,0,0,0,0,0,0,"ANGA0377736400"
"AFRO","Nigeria","NG",34,"Akwa Ibom",456,"Udung-Ukot",1650,36401,"Unknown (under LF MDA)","PC Not yet required",null,5,2017,2017,"Annual",55924,45454,81.2781632215149,1,1,1,1,"ANGA0377736401"
"AFRO","Nigeria","NG",34,"Akwa Ibom",456,"Ukanafun",1651,36402,"Consider Oncho Elimination Mapping","PC Not yet required",null,0,2017,2017,"Annual",0,0,0,0,0,0,0,"ANGA0377736402"
"AFRO","Nigeria","NG",34,"Akwa Ibom",456,"Uruan",1652,36403,"Unknown (under LF MDA)","PC Not yet required",null,2,2017,2017,"Annual",124176,120989,97.4334815101147,1,1,1,1,"ANGA0377736403"
"AFRO","Nigeria","NG",34,"Sokoto",487,"Goronyo",2294,37045,"Endemic (under MDA)","Under PC (Endemic)","2015",6,2017,2017,"Annual",191351,185890,97.1460823303772,1,1,1,1,"ANGA0380837045"
"AFRO","Nigeria","NG",34,"Sokoto",487,"Gudu",2295,37046,"Unknown (under LF MDA)","PC Not yet required",null,1,2017,2017,"Annual",100289,91191,90.928217451565,1,1,1,1,"ANGA0380837046"
"AFRO","Nigeria","NG",34,"Akwa Ibom",456,"Urue-Offong-Oruko",1653,36404,"Consider Oncho Elimination Mapping","PC Not yet required",null,0,2017,2017,"Annual",0,0,0,0,0,0,0,"ANGA0377736404"
"AFRO","Nigeria","NG",34,"Anambra",457,"Aguata",1655,36406,"Endemic (under MDA)","Under PC (Endemic)","1998",15,2017,2017,"Annual",388558,275895,71.0048435497403,1,1,1,1,"ANGA0377836406"
"AFRO","Nigeria","NG",34,"Akwa Ibom",456,"Uyo",1654,36405,"Consider Oncho Elimination Mapping","PC Not yet required",null,0,2017,2017,"Annual",0,0,0,0,0,0,0,"ANGA0377736405"
"AFRO","Nigeria","NG",34,"Anambra",457,"Anambra East",1656,36407,"Unknown (under LF MDA)","PC Not yet required",null,1,2017,2017,"Annual",160948,160454,99.6930685687303,1,1,1,1,"ANGA0377836407"
"AFRO","Nigeria","NG",34,"Anambra",457,"Anambra West",1657,36408,"Unknown (under LF MDA)","PC Not yet required",null,1,2017,2017,"Annual",175731,175142,99.6648286301222,1,1,1,1,"ANGA0377836408"
"AFRO","Nigeria","NG",34,"Abia",454,"Umunneochi",1602,36351,"Endemic (under MDA)","Under PC (Endemic)","1998",13,2017,2017,"Annual",172071,157937,91.7859488234508,1,1,1,1,"ANGA0377536351"
"AFRO","Nigeria","NG",34,"Oyo",484,"Lagelu",2236,36987,"Endemic (under MDA)","Under PC (Endemic)","1999",15,2017,2017,"Annual",155306,24896,16.0302885915547,1,0,1,0,"ANGA0380536987"
"AFRO","Nigeria","NG",34,"Adamawa",455,"Demsa",1603,36354,"Endemic (under MDA)","Under PC (Endemic)","1998",13,2017,2017,"Annual",189204,153824,81.3006067524999,1,1,1,1,"ANGA0377636354"
"AFRO","Nigeria","NG",34,"Sokoto",487,"Gada",2293,37044,"Unknown (under LF MDA)","PC Not yet required",null,6,2017,2017,"Annual",260598,216454,83.0604993131183,1,1,1,1,"ANGA0380837044"
"AFRO","Nigeria","NG",34,"Sokoto",487,"Gwadabawa",2296,37047,"Unknown (under LF MDA)","PC Not yet required",null,6,2017,2017,"Annual",242849,232215,95.6211472972917,1,1,1,1,"ANGA0380837047"
"AFRO","Nigeria","NG",34,"Sokoto",487,"Illela",2297,37048,"Unknown (under LF MDA)","PC Not yet required",null,6,2017,2017,"Annual",157964,143255,90.688384695247,1,1,1,1,"ANGA0380837048"
"AFRO","Nigeria","NG",34,"Sokoto",487,"Isa",2298,37049,"Consider Oncho Elimination Mapping","PC Not yet required",null,0,2017,2017,"Annual",0,0,0,0,0,0,0,"ANGA0380837049"
"AFRO","Nigeria","NG",34,"Oyo",484,"Iwajowa",2234,36985,"Endemic (under MDA)","Under PC (Endemic)","1999",15,2017,2017,"Annual",108095,50040,46.2926129793237,1,0,1,0,"ANGA0380536985"
